AVG Rank	Position	Name	School	Age on  Week 1	Player Notes or     Red Flags	Height	Weight	Hand	Arm	Wing	40 yd Dash	10 yd Split	Vert Jump	Broad Jump	3 Cone	Shuttle	Bench
1	CB	Travis Hunter	Colorado	22.29		6' 0 3/8"	188	9 1/8"	31 3/8"	76 7/8"							
2	Edge	Abdul Carter	Penn State	21.67	Injury	6' 3"	259										
3	DL	Mason Graham	Michigan	22.01		6' 3 1/2"	296	9 1/8"	32"	78 1/2"							
4	RB	Ashton Jeanty	Boise State	21.76		5' 8 1/2"	211	9 2/8"	29 1/4"	72 3/4"							
5	WR	Tetairoa McMillan	Arizona	22.41		6' 4 1/8"	219	10 0/8"	31 1/2"	77 7/8"							
6	CB	Will Johnson	Michigan	22.43		6' 1 3/4"	194	9 1/8"	30 1/8"	75 7/8"							
7	TE	Tyler Warren	Penn State	23.28		6' 5 1/2"	256	9 4/8"	31 3/4"	76 1/2"							
8	OL	Will Campbell	LSU	21.66		6' 5 7/8"	319	9 4/8"	32 5/8"	77 3/8"	4.98	1.76	32"	09'05"			
9	QB	Cam Ward	Miami (FL)	23.28		6' 1 5/8"	219	9 0/8"	30 1/2"	75 3/4"							
10	Edge	Jalon Walker	Georgia	21.53		6' 1"	243	10 2/8"	32"	79 7/8"							
11	OL	Armand Membou	Missouri	21.44		6' 4 1/4"	332	9 6/8"	33 1/2"	82"	4.91	1.74	30"	09'00"			
12	OT	Kelvin Banks Jr.	Texas	21.48		6' 5 1/8"	315	10 3/8"	33 1/2"	84 3/8"	5.16	1.79	32"	08'08"	7.81	4.66	
13	Edge	James Pearce Jr.	Tennessee	21.89	Character Concerns	6' 5 1/4"	245	10 0/8"	32 3/4"	80 7/8"	4.47	1.56	31"	10'03"			
14	LB	Jihaad Campbell	Alabama	21.53		6' 2 7/8"	235	10 4/8"	32 1/8"	80"	4.52	1.53		10'07"			
15	TE	Colston Loveland	Michigan	21.40		6' 5 3/4"	248	10 0/8"	32 3/4"								
16	S	Malaki Starks	Georgia	21.81		6' 0 7/8"	197	9 4/8"	31 5/8"	78 3/8"	4.50	1.51	36.5"	10'10"	7.26	4.45	
17	Edge	Mykel Williams	Georgia	21.18		6' 5 1/8"	267	10 2/8"	34 3/8"	82 7/8"	4.75	1.59					
18	Edge	Mike Green	Marshall	23.10	Character Concerns	6' 3 1/8"	251	8 4/8"	32"	77 5/8"							
19	CB	Jahdae Barron	Texas	23.75		5' 10 3/4"	194	9 4/8"	29 5/8"	73 1/2"	4.39	1.50	35"	10'03"			
20	WR	Luther Burden III	Missouri	21.73		6' 0"	206	8 4/8"	31 1/4"	76 1/2"	4.41	1.54					
21	DL	Walter Nolen	Mississippi	21.89		6' 3 3/4"	296	9 4/8"	32 1/2"	78 5/8"							
22	OT	Josh Simmons	Ohio State	22.69	Injury	6' 4 1/8"	317	10 0/8"	33"	82"							
23	Edge	Shemar Stewart	Texas A&M	21.81		6' 5"	267	9 5/8"	34 1/8"	84 3/4"	4.59	1.58	40"	10'11"			
24	DL	Kenneth Grant	Michigan	21.85		6' 3 5/8"	331	10 2/8"	33 1/2"	82 5/8"							
25	WR	Emeka Egbuka	Ohio State	22.89		6' 0 7/8"	202	9 5/8"	31 1/2"	76 5/8"	4.50	1.52					
26	QB	Shedeur Sanders	Colorado	23.58		6' 1 1/2"	212	9 3/8"	31 1/2"	77 3/4"							
27	DL	Derrick Harmon	Oregon			6' 4 1/2"	313	10 3/8"	34 3/8"	83 3/4"	4.95	1.74					
28	OG	Tyler Booker	Alabama	21.39		6' 4 5/8"	321	11 0/8"	34 1/2"	83 1/2"	5.38	1.96	27"	07'10"	7.96	4.84	
29	WR	Matthew Golden	Texas	22.09		5' 11"	191	9 4/8"	30 5/8"	76 3/8"	4.29	1.49					
30	S	Nick Emmanwori	South Carolina	21.58		6' 3 1/8"	220	9 0/8"	32 1/2"	78 1/4"	4.38	1.49	43"	11'06"			20
